,0,1,2
Median_Income,11.076887813493784,11.60422892729313,10.839116490153977
rental price,7.850147455379222,8.12221221791443,7.7651958138166455
persons counted 2019,5.149866375034197,4.8342958089798485,5.494706180553427
Median Age,3.6769422916624594,3.7995739331481504,3.5400313573775204
Population,10.233720546587232,10.214203632888513,11.060244842280984
Household,9.142510807488607,9.260938424739274,9.758064013525809
median lengh of residence,8.743661971830987,10.35714285714286,8.66
Unemployed %,5.8956338028169,4.247499999999999,6.650399999999999
crimes,6.040925177276382,5.712671422073448,6.515364330361245
