,zip_code,Median_Income,rental price,city,persons counted 2018,persons counted 2019,persons in perma housing,latitude,longitude,Median Age,Population,Household,median lengh of residence,average house income,Unemployed %,crimes,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue
37,90501,64995,2543,Torrance,187,226,39,33.8268,-118.3118,38.1,45166,15243,8.0,98813,6.05,267,6,ATM,Food Truck,Video Store
38,90502,68676,2460,Torrance,187,226,39,33.8286,-118.292,43.0,19020,6079,10.6,101526,5.72,267,6,Asian Restaurant,Chinese Restaurant,Fast Food Restaurant
39,90503,84615,2918,Torrance,187,226,39,33.8397,-118.3542,43.4,46452,17732,8.4,130618,4.12,267,6,Chinese Restaurant,Japanese Restaurant,Video Store
40,90504,79352,2837,Torrance,187,226,39,33.8708,-118.3295,42.7,33051,11870,10.2,114964,6.08,267,6,Video Store,Mexican Restaurant,Gas Station
41,90505,91569,2744,Torrance,187,226,39,33.8106,-118.3507,45.5,37581,14564,8.8,139867,3.53,267,6,Bank,Discount Store,Hobby Shop
42,90602,48427,2359,Whittier,185,286,155,33.9693,-118.0337,34.8,25335,8152,7.6,81237,4.85,233,6,Cosmetics Shop,Convenience Store,Indie Theater
43,90603,95354,2511,Whittier,185,286,155,33.9432,-117.9927,40.3,20543,6858,12.7,121904,3.95,233,6,Grocery Store,Pharmacy,Ice Cream Shop
44,90638,86141,2655,La Mirada,56,30,11,33.9067,-118.0101,39.9,47718,14763,12.7,119508,5.01,89,6,Park,Tennis Court,College Cafeteria
45,90640,50326,2394,Montebello,342,158,42,34.0133,-118.113,36.9,63188,19206,8.6,76508,6.28,218,6,Pharmacy,Poke Place,Mobile Phone Shop
46,90650,63669,2377,Norwalk,262,200,52,33.9056,-118.0818,35.1,106576,27350,11.0,87620,5.35,449,6,Fast Food Restaurant,Coffee Shop,Discount Store
47,90660,61524,2356,Pico Rivera,204,205,46,33.9886,-118.0883,35.7,62895,16580,13.1,83801,5.47,228,6,Vietnamese Restaurant,Bakery,Playground
48,90670,66509,2410,Santa Fe Springs,258,147,30,33.9464,-118.0838,36.7,16524,5047,9.2,99369,3.33,105,6,Sandwich Place,Café,Discount Store
49,90701,62863,2274,Artesia,16,24,8,33.8654,-118.0731,40.7,16778,4614,10.3,98751,3.78,82,1,Gift Shop,Korean Restaurant,Yoga Studio
50,90703,98175,2652,Cerritos,58,53,9,33.8669,-118.0686,46.0,49572,15865,15.2,139610,5.21,162,1,Food Truck,Korean Restaurant,Filipino Restaurant
51,90706,52944,2340,Bellflower,135,148,118,33.8867,-118.1265,34.7,79322,24487,7.3,80774,5.79,335,6,Sandwich Place,Mexican Restaurant,BBQ Joint
52,90712,83627,2593,Lakewood,103,135,15,33.8512,-118.1457,39.9,31580,10913,11.6,110705,4.35,270,1,Mexican Restaurant,Pizza Place,Mobile Phone Shop
53,90713,94110,2067,Lakewood,103,135,15,33.8473,-118.1115,40.5,28460,9594,14.0,122638,4.21,270,6,Smoke Shop,Convenience Store,Coffee Shop
54,90715,69905,2341,Lakewood,103,135,15,33.8405,-118.0767,37.2,20615,6249,8.5,92287,5.44,270,1,Korean Restaurant,Pizza Place,Gym / Fitness Center
